@id,name,place,type,@geometry,lon,lat,landuse,name:kn,operator,short_name,admin_level,boundary,is_in,website,source,alt_name,wikipedia,name:ml,old_name,addr:postcode,name:ta,name:kn:iso15919,wikidata,@relations,addr:city,official_name,name:en,note,fixme,full_name,schools_nearby,parks_nearby,metro_nearby_km,avg_rent,safety_score
relation/10842616,Bhartiya City,neighbourhood,multipolygon,center,77.6420947,13.0820529,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3.58,60000,9.4
relation/14015120,Adarsh Palm Retreat,neighbourhood,multipolygon,center,77.6894501,12.9198982,residential,ಆದರ್ಶ,Adarsh Group,APR,,,,,,,,,,,,,,,,,,,,,8,1,2.62,20000,7.6
relation/14071920,Defence Colony,neighbourhood,boundary,center,77.6435163,12.9751655,,ಡಿಫೆನ್ಸ್ ಕಾಲೋನಿ,Defence Colony Residents Association - DECORA,,11.0,administrative,Indira Nagar,https://www.facebook.com/decorablr/,,,,,,,,,,,,,,,,,12,6,4.48,15000,4.1
relation/17168134,Further Extension,neighbourhood,boundary,center,77.489361,12.964214,,,,,,,,,https://bda.karnataka.gov.in/30/e-auction/en,,,,,,,,,,,,,,,,3,5,1.34,50000,8.8
relation/17168135,6th Block,neighbourhood,boundary,center,77.476775,12.961758,,,,,,,,,https://bda.karnataka.gov.in/30/e-auction/en,,,,,,,,,,,,,,,,8,7,2.62,80000,5.9
relation/17168136,5th Block,neighbourhood,boundary,center,77.483115,12.9601145,,,,,,,,,https://bda.karnataka.gov.in/30/e-auction/en,,,,,,,,,,,,,,,,7,4,4.73,20000,6.7
relation/17168137,4th Block,neighbourhood,boundary,center,77.473638,12.9439975,,,,,,,,,https://bda.karnataka.gov.in/30/e-auction/en,,,,,,,,,,,,,,,,9,5,3.75,20000,8.7
relation/17168138,3rd Block,neighbourhood,boundary,center,77.4830025,12.9443715,,,,,,,,,https://bda.karnataka.gov.in/30/e-auction/en,,,,,,,,,,,,,,,,4,1,1.02,80000,7.6
relation/17168139,2nd Block,neighbourhood,boundary,center,77.4716515,12.9285055,,,,,,,,,https://bda.karnataka.gov.in/30/e-auction/en,,,,,,,,,,,,,,,,14,1,2.45,20000,8.9
relation/17168140,1st Block,neighbourhood,boundary,center,77.478746,12.9284485,,,,,,,,,https://bda.karnataka.gov.in/30/e-auction/en,,,,,,,,,,,,,,,,13,5,0.35,80000,6.8
relation/17193801,Dollars Colony,neighbourhood,boundary,center,77.567931,13.0421793,,ಡಾಲರ್ಸ್ ಕಾಲೋನಿ,,,,,,,,HIG Colony,en:Dollars Colony,,,,,,,,,,,,,,15,10,4.8,75000,6.5
relation/17341309,IAS Officers Colony,neighbourhood,boundary,center,77.6115382,12.9115934,,ಐಎಎಸ್ ಅಧಿಕಾರಿಗಳ ಕಾಲೋನಿ,,,,,BTM Layout,,,MCHS Colony,,,,,,,,,,,,,,,8,5,1.24,30000,9.0
relation/17871781,HAL Township,neighbourhood,boundary,center,77.6630294,12.9619318,,ಎಚ್ಎಎಲ್ ಟೌನ್‌ಷಿಪ್,,,,,,,,,,എച് എ എൽ ടൗൺഷിപ്പ്,HAL Sanitary Board,,,,,,,,,,,,8,5,1.67,30000,8.9
way/27775033,Koramangala 3rd Block,neighbourhood,,center,77.6251572,12.9279549,,ಕೋರಮಂಗಲ ೩ನೇ ಬ್ಲಾಕ್,,,,,,,,,,,,,,,,,,,,,,,12,3,2.97,20000,9.0
way/28110503,Koramangala 7th Block,neighbourhood,,center,77.6141466,12.9363282,,ಕೋರಮಂಗಲ ೭ನೇ ಬ್ಲಾಕ್,,,,,,,,,,,,,,,,,,,,,,,6,10,3.88,75000,8.4
way/32316263,Koramangala 8th Block,neighbourhood,,center,77.6184672,12.9411213,,ಕೋರಮಂಗಲ ೮ನೇ ಬ್ಲಾಕ್,,,,,,,,,,,,,,,,,,,,,,,3,7,1.91,15000,5.3
way/41184373,Koramangala 2nd Block,neighbourhood,,center,77.6228639,12.9243604,,ಕೋರಮಂಗಲ ೨ನೇ ಬ್ಲಾಕ್,,,,,,,,,,,,,,,,,,,,,,,9,3,2.7,80000,5.6
way/42857439,Anandapura,neighbourhood,,center,77.691781,13.0238798,,ಆನಂದಪುರ,,,,,,,,,,,,,,,,,,,,,,,10,3,4.65,80000,7.0
way/49050417,,neighbourhood,,center,77.567931,13.0421793,residential,,,,,,,,,,,,,,,,,,,,,,,,13,1,3.69,40000,4.5
way/123483256,Narayanappa Gardens,neighbourhood,,center,77.7504019,12.9659508,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3.53,60000,6.8
way/155973106,Dodsworth Enclave,neighbourhood,,center,77.7440136,12.9708132,residential,ಡೊಡ್ಸ್‌ವರ್ಥ್ ಎನ್‌ಕ್ಲೇವ್,,,,,"Whitefield, Bangalore, Karnataka, India",,,Dodsworth Layout,,,,560066.0,,,,,,,,,,,14,1,4.37,80000,4.9
way/227097740,Krishna Gardens Incity Layout,neighbourhood,,center,77.6015879,12.8546985,residential,ಕೃಷ್ಣ ಗಾರ್ಡನ್ಸ್ ಇನ್ಸಿಟಿ ಲೇಔಟ್,,,,,,,,,,,,,,,,,,,,,,,8,2,2.25,50000,7.3
way/241498157,Bhoomi Reddy Colony,neighbourhood,,center,77.6520842,12.9752754,,ಭೂಮಿ ರೆಡ್ಡಿ ಕಾಲೋನಿ,,,,,,,,,,,,,,,,,,,,,,,11,4,1.39,50000,7.8
way/257906450,Sampangi Rama Nagara,neighbourhood,,center,77.5921422,12.9651901,,ಸಂಪಂಗಿ ರಾಮ ನಗರ,,,,,,,,S.R. Nagara,,സമ്പങ്കിരാമനഗർ,,,,,,,,,,,,,5,1,0.73,50000,7.1
way/258871177,Papanna Layout,neighbourhood,,center,77.5793876,13.0483138,,ಪಾಪಣ್ಣ ಬಡಾವಣೆ,,,,,,,,,,,,,,,,,,,,,,,4,3,1.6,75000,9.2
way/266744402,SR Layout,neighbourhood,,center,77.6504715,12.9545997,residential,ಎಸ್ಆರ್ ಲೇಔಟ್,,,,,,,,,,,,,,,,,,,,,,,15,3,3.69,80000,4.6
way/313831950,Teachers Colony,neighbourhood,,center,77.6333954,12.9191396,residential,ಟೇಚರ್ ಕಾಲೋನಿ,,,,,,,,,,,,,,,,,,,,,,,3,7,0.92,60000,4.8
way/323037306,BEML Township,neighbourhood,,center,77.6684441,12.9724738,,ಬೆಮಲ್ ಟೌನ್‌ಷಿಪ್,,,,,,,,,,,,,,,,,,,,,,,4,10,2.94,30000,7.8
way/334266810,R D Layout,neighbourhood,,center,77.6032024,12.9410893,,ರಂಗದಾಸಪ್ಪ ಬಡವಾಣೆ,,,,,,,,Rangadasappa Layout,,,,,,,,,,,,,,,6,6,3.23,40000,8.3
node/391881071,Srirampura,neighbourhood,,,77.6196815,13.0660294,,ರಾಮಪುರ,,,,,,,,,,,,,ஸ்ரீராம்புரா,,,,,,,,,,14,9,3.07,40000,7.7
way/394253548,"D Silva Layout , Happy Valley",neighbourhood,,center,77.7501016,12.9791648,residential,,,,,,,,,,,,,,,,,,,,,,,,6,6,4.15,15000,5.6
node/410861196,Shabarinagara,neighbourhood,,,77.6379402,13.0713622,,ಶಬರಿನಗರ,,,,,,,,,,,,,,,,,,,,,,,7,3,1.7,20000,9.1
way/414836217,Friend's Layout,neighbourhood,,center,77.7054238,12.971927,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0.94,80000,4.9
way/414837838,Vinayaka Layout,neighbourhood,,center,77.7024788,12.9724425,residential,,,,,,,,,,,,,,,,,,,,,,,,15,3,1.23,75000,7.4
node/420087906,Chikkabyrathi,neighbourhood,,,77.6495031,13.0553214,,ಚಿಕ್ಕಬೈರತಿ,,,,,"Asia,India,Karnataka",,,,,,,,,,,,,,,,,,6,2,3.14,40000,6.1
node/420088225,Byrathi,neighbourhood,,,77.6520993,13.0563529,,ಭೈರತಿ,,,,,"Asia,India,Karnataka",,,,,,,,,Bhairati,,,,,,,,,9,8,2.65,75000,5.9
way/421816880,Indiranagar 2nd Stage,neighbourhood,,center,77.6386065,12.9760357,,ಇಂದಿರಾನಗರ ೨ನೇ ಹಂತ,Indiranagar 2nd Stage League,,,,Indira Nagar,,,Indira Nagar 2nd Stage,,,,,,,,,,,,,,,13,1,1.3,60000,4.4
node/428464052,Sampangirama Nagar,neighbourhood,,,77.5922609,12.9664555,,ಸಂಪಾಂಗಿರಾಮನಗರ,,,,,,,,,,സമ്പങ്കിരാമനഗർ,,,,,,,,,,,,,11,5,1.03,30000,5.3
node/429876575,Mavalli,neighbourhood,,,77.5819643,12.9528478,,ಮಾವಳ್ಳಿ,,,,,,,,,,,,,,,,,,,,,,,7,1,4.27,50000,5.5
node/429921854,Viveknagar,neighbourhood,,,77.6231374,12.9529247,,ವಿವೇಕನಗರ,,,,,,,,Vivek Nagar,,വിവേക്നഗർ,,,விவேக்நகர்,,,,,,,,,,7,1,3.87,20000,6.7
node/429921856,Cubbonpet,neighbourhood,,,77.5852286,12.9684991,,ಕಬ್ಬನ್ ಪೇಟೆ,,,,,,,,,,,,,,,,,,,,,,,3,2,2.63,75000,8.6
node/429921857,Old Tharagupete,neighbourhood,,,77.576627,12.967815,,ಹಳೆ ತರಗುಪೇಟೆ,,,,,,,,,,,,,,,,,,,,,,,3,6,1.68,15000,9.0
node/429921859,Sultanpete,neighbourhood,,,77.5738753,12.9699379,,ಸುಲ್ತಾನ್ ಪೇಟೆ,,,,,,,,,,,,,,,,,,,,,,,13,1,4.07,20000,6.2
node/429921860,Ranasingpete,neighbourhood,,,77.5724588,12.9675442,,ರಣಸಿಂಗಪೇಟೆ,,,,,,,,,,,,,,,,,,,,,,,6,10,0.54,40000,7.5
node/429921863,Balepet,neighbourhood,,,77.5759323,12.9731178,,ಬಾಳೆಪೇಟೆ,,,,,,,,,,,,,,,,,,,,,,,4,5,0.62,75000,6.1
node/433747869,BEL Colony,neighbourhood,,,77.5539052,13.0470701,,ಬಿಇಎಲ್ ಕಾಲೋನಿ,,,,,,,,,,,,,,,,,,,,,,,9,5,1.8,30000,7.3
node/440680091,Kalkere,neighbourhood,,,77.6738079,13.0350897,,ಕಾಲ್ಕೆರೆ,,,,,"Asia,India,Karnataka",,,,,,,,,,,,,,,,,,6,3,1.75,20000,5.2
node/440684547,Jayantinagara,neighbourhood,,,77.6659373,13.0276391,,ಜಯಂತಿನಗರ,,,,,"Asia,India,Karnataka",,,,,,,,ஜெயந்திநகரா,,,,,,,,,,13,5,4.65,80000,7.0
node/442068820,Ashwath Nagar,neighbourhood,,,77.7031243,12.9582555,,ಅಶ್ವಥ ನಗರ,,,,,Marthahalli,,,,,,,,அஷ்வத் நகர்,,,,,,,,,,10,3,2.63,15000,5.5
node/442068826,Ananda Nagara,neighbourhood,,,77.7005306,12.9610371,,ಆನಂದ ನಗರ,,,,,Marthahalli,,,,,,,,அனந்த நகரா,,,,,,,,,,13,5,2.67,20000,9.3
node/443615519,Poojappa Layout,neighbourhood,,,77.6435238,13.0347892,,ಪೂಜಪ್ಪ ಲೇಔಟ್,,,,,,,,,,,,,,,,,,,,,,,5,3,3.77,15000,7.6
node/443634185,Babusabpalya,neighbourhood,,,77.650469,13.0283523,,ಬಾಬುಸಪಾಳ್ಯ,,,,,,,,,,,,,,,,,,,,,,,14,10,1.34,80000,5.8
node/443634193,GNR Gardens,neighbourhood,,,77.6463658,13.0299462,,ಜಿಎನ್ಆರ್ ಗಾರ್ಡನ್ಸ್,,,,,,,,,,,,,,,,,,,,,,,5,4,2.77,60000,4.7
node/456112035,Ramachandra Pura,neighbourhood,,,77.5622224,12.9851843,,ರಾಮಚಂದ್ರಪುರ,,,,,,,,,,,,,,,,,,,,,,,14,3,4.17,60000,6.1
node/458272897,Jayamahal Extension,neighbourhood,,,77.5969579,13.0011064,,ಜಯಮಹಲ್ ಎಕ್ಸ್‌ಟೆನ್ಷನ್,,,,,,,,,,,,,,,,,,,,,,,13,5,0.68,75000,6.6
node/459468111,Anantnagar,neighbourhood,,,77.6865582,12.8375953,,ಅನಂತನಗರ,,,,,Bangalore,,,,,,,,அனந்த் நகர்,,,,,,,,,,10,2,0.95,20000,8.6
